	GSM461182_untreat_single.counts	GSM461177_untreat_paired.counts	GSM461176_untreat_single.counts	GSM461178_untreat_paired.counts	GSM461181_treat_paired.counts	GSM461180_treat_paired.counts	GSM461179_treat_single.counts	GeneID	Base mean	log2(FC)	StdErr	Wald-Stats	P-value	P-adj	Chromosome	Start	End	Strand	Feature	Gene name
FBgn0024984	100.682559247792	100.530392072293	90.9286655084273	105.755985940887	304.563207097294	309.531848117399	214.488227502217	FBgn0024984	175.211555069473	1.21628653134633	0.163447140075506	7.44146719718957	9.95731110440404e-14	7.29947498653619e-12	chrX	2187819	2188919	+	protein_coding	CG3457
FBgn0023549	235.744528970439	425.500729236217	389.380011169153	418.47529920695	141.70010239572	140.186525415489	113.05155673402	FBgn0023549	266.291250446855	-1.30846261532507	0.163171653411685	-8.01893336230277	1.06667351177647e-15	9.83748248441593e-14	chrX	2189187	2205373	+	protein_coding	Mct1
FBgn0250904	17.1897052374279	21.0412448523404	19.0656879291864	26.1547062004344	68.0896595927485	77.3829620293498	61.1717327533398	FBgn0250904	41.4422426564039	1.08291127887585	0.223764990838037	4.83950270692555	1.30164418640209e-06	3.21734933336333e-05	chrX	5614553	5616370	-	protein_coding	CG34434
FBgn0029896	947.889460235308	1198.18199853605	1187.20572143664	1014.34773612119	200.588456638097	192.896658971712	221.457159081711	FBgn0029896	708.938170145817	-2.2024048386209	0.128294430765028	-17.166800035573	4.70662358136251e-66	3.66988276884966e-63	chrX	6720003	6739986	-	protein_coding	CG3168
FBgn0261284	31.9237382980803	25.7170770417494	23.4654620666909	31.840511896181	169.304018446834	127.850111178926	123.892116968789	FBgn0261284	76.284719413893	1.67303519612179	0.206693720722876	8.09427199951038	5.76078350695776e-16	5.37067827599747e-14	chrX	6986485	6987188	+	protein_coding	bou
FBgn0003447	18.4175413258156	16.3654126629314	28.5985318937796	34.1148341744796	96.6137061788998	93.0838528758845	97.5650421129217	FBgn0003447	54.9655601749589	1.29585522712718	0.220322954964412	5.88161695333332	4.06277713400096e-09	1.45801002001365e-07	chrX	7964023	7986601	+	protein_coding	sn
FBgn0030041	106.82173968973	219.764112902222	208.989271531466	244.489644917104	29.4441771211885	21.3083518631543	33.2960064353622	FBgn0030041	123.444757780033	-1.97687245188273	0.208613835097993	-9.47622889418683	2.63638949577777e-21	3.58925598496601e-19	chrX	8467442	8469012	-	protein_coding	CG12116
FBgn0025111	572.17161718867	656.954422611962	528.70619219013	597.009598053393	4768.11643256247	4614.94041667789	3608.35790671599	FBgn0025111	2192.32236942864	2.69993883050466	0.0979445703043004	27.5659878042889	2.84676422110468e-167	6.10417418110372e-164	chrX	10778953	10786907	-	protein_coding	Ant2
FBgn0003360	12381.4991153016	8794.07139023094	10604.1889670755	9714.76761175265	1122.55925274531	1157.37995383027	1092.57360651851	FBgn0003360	6409.57712820784	-2.99977727873844	0.104345058108963	-28.7486281871241	9.422381723996e-182	4.04078840233568e-178	chrX	10780892	10786958	-	protein_coding	sesB
FBgn0030326	293.452825124661	241.974315801915	208.255975841882	357.068597692887	103.05461992416	145.793986432108	111.502905271911	FBgn0030326	208.729032298503	-1.00807339350023	0.176278342978791	-5.71864573075503	1.07376402973475e-08	3.62585593820275e-07	chrX	11704309	11705300	-	protein_coding	CG2444
FBgn0052625	105.593903601343	95.8545598828841	128.326745677216	156.928237202606	325.726209403148	312.896324727371	436.719712314983	FBgn0052625	223.149384687079	1.32005291176654	0.171522776228913	7.69607944081316	1.40304600526924e-14	1.21554803911053e-12	chrX	13756163	13756826	-	protein_coding	CG32625
FBgn0030598	27.0123939445295	14.0274965682269	25.6653491354432	20.4689005046878	86.4922702934913	116.635189145687	101.436670768196	FBgn0030598	55.962610051466	1.4907025884997	0.218880663179018	6.81057233128212	9.72112210135689e-12	5.21112901645863e-10	chrX	14919251	14923493	-	protein_coding	CG9503
FBgn0085359	214.871315467848	109.882056451111	186.990400843943	179.671459985593	1.84026107007428	4.48596881329564	9.29190877265921	FBgn0085359	101.004767343504	-2.90913823329213	0.219771777205677	-13.2370874471728	5.35869196288476e-40	2.08915913480285e-37	chrX	19068274	19068973	-	protein_coding	CG34330
FBgn0031150	825.105851396538	713.06440888487	859.422548192555	662.964944124054	1639.67261343619	1520.74342770722	2103.84301127626	FBgn0031150	1189.25954357395	1.18524287690058	0.100784819452426	11.7601329579209	6.26355822033101e-32	1.6788293392431e-29	chrX	21053962	21082391	+	protein_coding	bves
FBgn0027279	5559.64180821953	5976.88249611203	5885.43120460192	5525.46597512655	2447.5472231988	2504.29209002229	2497.97480838322	FBgn0027279	4342.46222938062	-1.16556778313685	0.086026438308277	-13.548948509992	8.03731938378787e-42	3.82978268637492e-39	chrX	22487179	22508129	+	protein_coding	l(1)G0196
FBgn0031258	268.896103356907	308.604924500993	338.049312898266	244.489644917104	94.7734451088256	98.6913138925041	147.121888900438	FBgn0031258	214.375233367863	-1.1282910434996	0.165341575339394	-6.82400080671526	8.85393841487829e-12	4.77611508078057e-10	chr2L	458875	472200	-	protein_coding	CG4297
FBgn0043364	1841.75413258156	1908.90849132622	3225.03444279083	1944.54554794534	893.446749521064	792.894987750004	1236.59819249473	FBgn0043364	1691.88322062996	-1.0257689875114	0.139369714595579	-7.360056598293	1.8383226845271e-13	1.30308212109e-11	chr2L	476445	479688	-	protein_coding	cbt
FBgn0031322	702.322242557767	797.229388294231	734.76228096326	927.923489545846	391.055477390785	282.616035237625	226.103113468041	FBgn0031322	580.287432493937	-1.32754155472446	0.134839004944176	-9.84538231555528	7.17658514931649e-23	1.0798872074682e-20	chr2L	1185756	1196807	+	protein_coding	CG5001
FBgn0031327	502.184960150571	801.90522048364	690.764539588214	859.693821196887	1640.59274397122	1704.66814905234	1646.99082995385	FBgn0031327	1120.97146634239	1.10350280678473	0.126261658329737	8.73980922936158	2.33504392086258e-18	2.56765021913312e-16	chr2L	1240035	1243018	+	protein_coding	CG5397
FBgn0031547	756.347030446826	402.121568289172	402.579333581666	578.815019827004	176.665062727131	178.317260328502	226.877439199096	FBgn0031547	388.817530628485	-1.19640518872339	0.171060260890905	-6.99405684577092	2.67049271866333e-12	1.60909024467595e-10	chr2L	3522520	3524056	-	protein_coding	Sr-CIV
FBgn0031548	159.618691490402	105.206224261702	92.3952568875955	110.304630497484	34.9649603314114	19.0653674565065	37.9419608216918	FBgn0031548	79.9281559638276	-1.30435732287187	0.213233984963321	-6.1170236212405	9.53392390787359e-10	3.73390252775488e-08	chr2L	3525130	3527588	+	protein_coding	CG8852
FBgn0020376	111.733084043281	79.4891472199527	68.1964991313205	86.4242465753484	36.8052214014857	17.9438752531826	30.1987035111424	FBgn0020376	61.5415395908162	-1.03815791455215	0.21986666209093	-4.72176138337334	2.33810897899921e-06	5.50932986617478e-05	chr2L	4120342	4121627	+	protein_coding	Sr-CIII
FBgn0031703	124.011444927158	211.581406570756	202.389610325209	228.569388969014	51.5273099620799	47.1026725396042	54.9771269049003	FBgn0031703	131.451280028389	-1.48939298900566	0.192463620682232	-7.73856889798792	1.00542061518649e-14	8.79948226168827e-13	chr2L	5339131	5342234	-	protein_coding	CG12512
FBgn0051642	63.8474765961607	97.0235179302364	59.3969508563114	56.858056957466	258.556680345437	300.559910490808	257.076142710238	FBgn0051642	156.188390840951	1.60375790719318	0.179215434241102	8.94877114788905	3.59461532629902e-19	4.28208550745371e-17	chr2L	6118511	6120522	+	protein_coding	CG31642
FBgn0259715	788.270768744906	2026.97325410879	1642.58234466837	2222.01286589777	520.793882831022	621.306680641446	359.287139209489	FBgn0259715	1168.7467051574	-1.57781642917482	0.158318549988091	-9.9660869133371	2.14514483952196e-23	3.40720505344071e-21	chr2L	6395852	6397249	-	protein_coding	CG42369
FBgn0264343	47.8856074471205	21.0412448523404	41.0645586167091	21.6060616438371	53.3675710321542	47.1026725396042	168.028683638921	FBgn0264343	57.1566285386695	1.03605483088489	0.216472067907556	4.78609014502201	1.70061697395067e-06	4.15561019532048e-05	chr2L	7227733	7228641	+	protein_coding	CG43799
FBgn0031912	2567.40526081869	2819.52681021362	2202.82025151061	2660.95706560941	1290.02301012207	1262.80022094272	1022.10996499251	FBgn0031912	1975.09179774423	-1.09267486830075	0.0981226532770367	-11.1358063791418	8.39814721270107e-29	1.89555022745624e-26	chr2L	7426865	7430329	+	protein_coding	CG5261
FBgn0040099	1734.93239289183	1677.45479795047	2180.82138082309	1737.58222062016	432.461351467456	426.167037263086	696.118832218386	FBgn0040099	1269.36257331921	-1.65424331975253	0.123150545460526	-13.4326917803443	3.89009850155714e-41	1.75607236041345e-38	chr2L	7857076	7860120	+	protein_coding	lectin-28C
FBgn0032004	2375.86283103021	1744.08540664955	1609.58403863708	1869.49291276148	856.641528119579	772.708128090174	854.855607084647	FBgn0032004	1440.4614931961	-1.08846556495261	0.123891463558181	-8.78563811978426	1.55479378130686e-18	1.75466661345644e-16	chr2L	8216850	8218017	-	protein_coding	CG8292
FBgn0001137	1078.0400856044	839.311877998912	808.091849921669	914.277555876054	367.132083479819	319.625277947314	346.897927512611	FBgn0001137	667.625236905826	-1.27381945154683	0.12767152560676	-9.97731832131703	1.91574403804007e-23	3.10025219137164e-21	chr2L	8431085	8433598	-	protein_coding	grk
FBgn0264437	98.2268870710164	37.4066575152719	68.9297948209046	43.2121232876742	176.665062727131	220.93396405481	739.481073157462	FBgn0264437	197.836508947753	2.1454384735847	0.185437411866698	11.5696096703881	5.87493317385563e-31	1.48203828918117e-28	chr2L	8590369	8594489	-	lincRNA	CR43855
FBgn0267252	229.605348528501	198.722868049882	250.053830148175	189.905910237937	84.652009223417	63.9250555894629	94.467739188702	FBgn0267252	158.761822995154	-1.15948773047975	0.169175676946916	-6.8537496134481	7.19389533824794e-12	3.95525899462517e-10	chr2L	9256562	9302494	+	protein_coding	Ggamma30A
FBgn0032405	35.6072465632434	44.4204057993853	37.3980801687887	43.2121232876742	230.032633759285	202.990088801628	218.359856157491	FBgn0032405	116.002919219642	1.94491333081648	0.185504223141702	10.4844692906577	1.0181566181592e-25	1.89841941607641e-23	chr2L	12063456	12066775	-	protein_coding	CG14946
FBgn0053307	1809.83039428348	1694.98916866076	2620.06549888396	2110.57107426114	683.656987532596	619.063696234798	935.385483114361	FBgn0053307	1496.22318613873	-1.30646106300707	0.130526936786105	-10.0091298790531	1.38969391117273e-23	2.3371381717899e-21	chr2L	13839261	13841520	-	protein_coding	CG33307
FBgn0028939	30.6959022096926	46.7583218940898	38.1313758583728	72.7783129055565	11.0415664204457	10.0934298299152	11.614885965824	FBgn0028939	31.5876850119852	-1.09102393931051	0.232323700484733	-4.69613705805364	2.65127677660682e-06	6.17934807417302e-05	chr2L	13980125	13983269	+	protein_coding	NimC2
FBgn0260011	40.5185909167943	44.4204057993853	35.9314887896205	65.9553460706606	264.997594090697	277.008574221006	193.581432763734	FBgn0260011	131.7733475217	1.89651488025483	0.181972316600758	10.4219966843403	1.96778034080767e-25	3.5161774964807e-23	chr2L	14047581	14048863	+	protein_coding	NimC4
FBgn0032598	316.781710804028	312.11179864305	293.318275833637	328.639569214154	691.93816234793	763.736190463582	603.974070222849	FBgn0032598	472.928539647033	1.02358378389044	0.123126406782692	8.31327584907907	9.30957769347439e-17	8.97171324459885e-15	chr2L	16738849	16742610	+	protein_coding	ChLD3
FBgn0000406	295.908497301437	614.871932907281	581.503481840185	821.03034246581	172.984540586983	125.607126772278	123.117791237735	FBgn0000406	390.717673301672	-1.70769202130304	0.177818558718774	-9.60356463131505	7.72263934418245e-22	1.06833996217827e-19	chr2L	16788773	16790721	-	protein_coding	Cyt-b5-r
FBgn0032638	354.844629544047	231.453693375745	225.8550723919	227.432227829864	75.4507038730456	91.9623606725606	106.856950885581	FBgn0032638	187.693662653249	-1.21180216827045	0.174260979496584	-6.95395017158277	3.55197112103778e-12	2.08666139076309e-10	chr2L	17454262	17455923	-	protein_coding	SPH93
